date,Modell,Vorhergesagter Wärmebedarf [kWh],Tatsächlicher Wärmebedarf [kWh]
20230316,"Deterministisches 
Modell",4688.944218040639,3757.120901586
20230316,"Stochastisches 
Modell",4467.597672789461,3757.120901586
20230409,"Deterministisches 
Modell",3742.442574460924,2799.937546477
20230409,"Stochastisches 
Modell",3529.691706425827,2799.937546477
20230410,"Deterministisches 
Modell",2971.9340068570255,2410.429210937
20230410,"Stochastisches 
Modell",2735.5633302149,2410.429210937
20230501,"Deterministisches 
Modell",2590.4953082487414,2395.433371632
20230501,"Stochastisches 
Modell",2383.715652481672,2395.433371632
20230515,"Deterministisches 
Modell",1631.9960319890763,1659.58753026
20230515,"Stochastisches 
Modell",1405.9218406931402,1659.58753026
20230619,"Deterministisches 
Modell",1281.4896778808288,1174.7608547940001
20230619,"Stochastisches 
Modell",1032.2825378058474,1174.7608547940001
20230622,"Deterministisches 
Modell",1250.3084030768937,1105.162518637
20230622,"Stochastisches 
Modell",995.9827731371427,1105.162518637
20230709,"Deterministisches 
Modell",1291.6677713545798,1146.737520649
20230709,"Stochastisches 
Modell",1097.9901009264613,1146.737520649
20230710,"Deterministisches 
Modell",1244.4031898850321,1092.645851285
20230710,"Stochastisches 
Modell",1084.6717628710242,1092.645851285
